,Job,Company,Location,Salary,Job Description,Date Posted,Job Rating,City,State/Zip
360,Senior Data Engineer,SAIC,Remote in United States,missing,The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…,PostedJust posted,4.0,Remote in United States,
361,Software Engineer/Data - AMP Analytics Engineering,Apple,"Seattle, WA+10 locations",missing,We are looking for someone with a love for data and ability to iterate quickly on all stages of data pipeline.,PostedJust posted,4.2,Seattle, WA+10 locations
362,"Data Engineer, WWRO - Data & Analytics","Amazon Web Services, Inc.","Seattle, WA+126 locations",missing,"Demonstrate efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.",PostedToday,3.5,Seattle, WA+126 locations
363,Virtual Cloud Data Engineer - Solution Architect,Deloitte,"Seattle, WA 98104 (Downtown area)+2 locations",missing,9+ years of experience in data engineering with an emphasis on data analytics and reporting.Build large-scale batch and real-time data pipelines with data…,PostedToday,4.0,Seattle, WA 98104 (Downtown area)+2 locations
364,Data Engineer : 22-02371,Akraya Inc.,"Remote in Seattle, WA 98104",missing,"Experience with data annotation, linguistic annotation and other forms of data markup.Master's in a relevant field, such as Linguistics, Communications, a…",PostedToday,3.6,Remote in Seattle, WA 98104
365,Data Quality Engineer,MultiCare Health System,"Tacoma, WA",missing,Validation of data in data repositories against data from source systems and validation of metrics and data in reports/dashboards against data in the…,PostedToday,3.6,Tacoma, WA
366,Data Engineer II - DTS,Denali Advanced Integration,"Redmond, WA 98052+1 location",missing,"Work with other data engineers, data ingestion specialists, and experts across the team.Contribute to architecture of highly scalable and reliable data…",PostedToday,2.5,Redmond, WA 98052+1 location
367,Data Engineer,Insight Global,Washington State,missing,"Develop highly scalable and reliable data engineering solutions for moving data efficiently across systems; design, implement, test and deploy data processing…",PostedToday,3.9,Washington State,
368,Senior Data Engineer,Numerator,Remote in United States,missing,Architect data validation testing frameworks to ensure high data quality and integrity.4+ years of experience in building a data warehouse and data pipelines.,PostedToday,3.6,Remote in United States,
369,Escalation Engineer - Data Analysis,Microsoft,"Redmond, WA 98052 (Overlake area)",missing,2+ years experience applying data analysis to develop and track business-critical metrics.2+ years experience using data presentation technologies such as…,PostedToday,4.2,Redmond, WA 98052 (Overlake area)
370,Data Governance Engineer (Remote),CSAA Insurance Group,"Remote in Seattle, WA",missing,Helps in ensuring that Data Governance policies and procedures are adhered to for onboarding data subject areas with clear data classification and data…,Posted1 day ago,3.4,Remote in Seattle, WA
371,"Software Dev Engineer II, Advertising Data Management",Amazon.com Services LLC,"Seattle, WA+28 locations",missing,"Mentor and assist in the career development of junior engineers.Experience in SQL, data modeling skills and Machine learning or web crawling.",PostedToday,3.5,Seattle, WA+28 locations
372,Data Analyst/Engineer,"Naylor, LLC",United States,missing,"Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets.The ideal candidate is an experienced data pipeline builder and data…",Posted1 day ago,3.2,United States,
373,Sr. Data Engineer,DISYS,United States,missing,Integrate data from multiple sources to produce requested or required data elements.Identify and define data quality improvements.,Posted1 day ago,3.4,United States,
374,Data Engineer,Nautilus,"Remote in Vancouver, WA",missing,"Work and/ educational background in data engineering, data science, data architecture, data warehousing or a related area.Databricks (on AWS or Azure).",Posted1 day ago,3.7,Remote in Vancouver, WA
